filename	rows	delimiter	header
contrib_2025.txt	1164303	comma	CampaignFinanceID,FilerID,EYEAR,SubmittedDate,CYCLE,Section,CONTRIBUTOR,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,OCCUPATION,ENAME,EADDRESS1,EADDRESS2,ECITY,ESTATE,EZIPCODE,CONTDATE1,CONTAMT1,CONTDATE2,CONTAMT2,CONTDATE3,CONTAMT3,CONTDESC
debt_2025.txt	2089	comma	CampaignFinanceID,FILERID,EYEAR,SubmittedDate,CYCLE,DBTNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,DBTDATE,DBTAMT,DBTDESC
expense_2025.txt	481985	comma	CampaignFinanceID,FILERID,EYEAR,SubmittedDate,CYCLE,EXPNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,EXPDATE,EXPAMT,EXPDESC
filer_2025.txt	9140	comma	CampaignfinanceID,FILERID,EYEAR,SubmittedDate,CYCLE,AMMEND,TERMINATE,FILERTYPE,FILERNAME,OFFICE,DISTRICT,PARTY,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTY,PHONE,BEGINNING,MONETARY,INKIND
receipt_2025.txt	5748	comma	CampaignFinanceID,FILERID,EYEAR,SubmittedDate,CYCLE,RECNAME,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,RECDESC,RECDATE,RECAMT
